First Name:         Last Name:         Rank:           Salary:
FirstName0001       LastName0001      Assistant       60889.10
FirstName0002       LastName0002      Assistant      127759.48
FirstName0003       LastName0003      Associate       67068.66
FirstName0004       LastName0004      Associate       78156.69
FirstName0005       LastName0005      Associate       86673.72
FirstName0006       LastName0006      Associate       65915.82
FirstName0007       LastName0007      Associate       96454.21
FirstName0008       LastName0008      Assistant       89882.97
FirstName0009       LastName0009      Associate       63542.91
FirstName0010       LastName0010      Assistant      106648.81
FirstName0011       LastName0011      Assistant       98689.73
FirstName0012       LastName0012      Assistant       79520.26
FirstName0013       LastName0013      Assistant       84650.95
FirstName0014       LastName0014      Assistant       63798.75
FirstName0015       LastName0015      Assistant      127424.89
FirstName0016       LastName0016      Associate       66898.55
FirstName0017       LastName0017      Assistant       87986.19
FirstName0018       LastName0018      Associate       78467.84
FirstName0019       LastName0019      Assistant       63368.15
FirstName0020       LastName0020      Assistant      101468.46
FirstName0021       LastName0021      Associate       62564.84
FirstName0022       LastName0022      Associate       76287.46
FirstName0023       LastName0023      Assistant      109726.69
FirstName0024       LastName0024      Assistant       83376.90
FirstName0025       LastName0025      Assistant      119951.78
FirstName0026       LastName0026      Associate       75540.96
FirstName0027       LastName0027      Associate       94355.21
FirstName0028       LastName0028      Assistant       78281.59
FirstName0029       LastName0029      Assistant       65743.22
FirstName0030       LastName0030      Assistant       90004.53
FirstName0031       LastName0031      Assistant       62834.53
FirstName0032       LastName0032      Assistant      110954.08
FirstName0033       LastName0033      Assistant       78341.11
FirstName0034       LastName0034      Assistant      124883.83
FirstName0035       LastName0035      Assistant       56647.78
FirstName0036       LastName0036      Assistant      129628.38
FirstName0037       LastName0037      Associate       89816.32
FirstName0038       LastName0038      Assistant       66594.74
FirstName0039       LastName0039      Assistant       72284.52
FirstName0040       LastName0040      Assistant      104174.48
FirstName0041       LastName0041      Associate       69294.61
FirstName0042       LastName0042      Assistant       93684.02
FirstName0043       LastName0043      Assistant       76998.71
FirstName0044       LastName0044      Associate       86082.09
FirstName0045       LastName0045      Associate       63754.58
FirstName0046       LastName0046      Assistant       72893.42
FirstName0047       LastName0047      Associate       65706.21
FirstName0048       LastName0048      Assistant      112456.40
FirstName0049       LastName0049      Assistant       76637.63
FirstName0050       LastName0050      Associate       81034.27
FirstName0051       LastName0051      Assistant      118637.37
FirstName0052       LastName0052      Associate       82699.65
FirstName0053       LastName0053      Associate       69724.88
FirstName0054       LastName0054      Assistant       88500.64
FirstName0055       LastName0055      Associate       86929.52
FirstName0056       LastName0056      Associate       92486.67
FirstName0057       LastName0057      Assistant      129783.03
FirstName0058       LastName0058      Assistant       74595.87
FirstName0059       LastName0059      Assistant       95297.67
FirstName0060       LastName0060      Associate       81296.98
FirstName0061       LastName0061      Associate       89519.14
FirstName0062       LastName0062      Assistant      101629.63
FirstName0063       LastName0063      Associate       89610.97
FirstName0064       LastName0064      Assistant       74934.51
FirstName0065       LastName0065      Assistant      102136.33
FirstName0066       LastName0066      Assistant      121430.15
FirstName0067       LastName0067      Assistant      103188.74
FirstName0068       LastName0068      Assistant       76356.65
FirstName0069       LastName0069      Assistant       65094.11
FirstName0070       LastName0070      Associate       76861.63
FirstName0071       LastName0071      Associate       62233.60
FirstName0072       LastName0072      Assistant       95190.13
FirstName0073       LastName0073      Associate       73390.68
FirstName0074       LastName0074      Assistant       64877.64
FirstName0075       LastName0075      Assistant       70858.07
FirstName0076       LastName0076      Associate       69985.86
FirstName0077       LastName0077      Assistant      118598.57
FirstName0078       LastName0078      Associate       71171.16
FirstName0079       LastName0079      Associate       66053.84
FirstName0080       LastName0080      Associate       96845.05
FirstName0081       LastName0081      Associate       74038.53
FirstName0082       LastName0082      Assistant       71220.17
FirstName0083       LastName0083      Assistant      127701.10
FirstName0084       LastName0084      Assistant       88951.00
FirstName0085       LastName0085      Assistant       79458.99
FirstName0086       LastName0086      Assistant       61505.05
FirstName0087       LastName0087      Associate       98276.66
FirstName0088       LastName0088      Assistant       83001.21
FirstName0089       LastName0089      Assistant       58933.21
FirstName0090       LastName0090      Assistant      100316.82
FirstName0091       LastName0091      Assistant       86648.35
FirstName0092       LastName0092      Assistant      102156.97
FirstName0093       LastName0093      Assistant       96739.19
FirstName0094       LastName0094      Assistant       64808.21
FirstName0095       LastName0095      Associate       97886.81
FirstName0096       LastName0096      Assistant      116330.17
FirstName0097       LastName0097      Associate       83861.22
FirstName0098       LastName0098      Associate       82185.37
FirstName0099       LastName0099      Assistant       60576.00
FirstName0100       LastName0100      Assistant      101307.95
FirstName0101       LastName0101      Associate       83543.26
FirstName0102       LastName0102      Assistant       54052.14
FirstName0103       LastName0103      Assistant       60602.28
FirstName0104       LastName0104      Assistant      105050.04
FirstName0105       LastName0105      Associate       70640.66
FirstName0106       LastName0106      Assistant       68909.84
FirstName0107       LastName0107      Assistant      113272.98
FirstName0108       LastName0108      Associate       96388.73
FirstName0109       LastName0109      Assistant       51674.08
FirstName0110       LastName0110      Associate       77446.04
FirstName0111       LastName0111      Assistant       78266.44
FirstName0112       LastName0112      Assistant       80460.18
FirstName0113       LastName0113      Assistant       66373.59
FirstName0114       LastName0114      Assistant       78312.06
FirstName0115       LastName0115      Assistant       56764.10
FirstName0116       LastName0116      Associate       94083.50
FirstName0117       LastName0117      Associate       75585.62
FirstName0118       LastName0118      Assistant       79054.66
FirstName0119       LastName0119      Assistant       75813.40
FirstName0120       LastName0120      Assistant       66072.91
FirstName0121       LastName0121      Associate       88435.78
FirstName0122       LastName0122      Associate       75904.35
FirstName0123       LastName0123      Associate       66356.89
FirstName0124       LastName0124      Assistant       90291.02
FirstName0125       LastName0125      Assistant      101328.83
FirstName0126       LastName0126      Associate       63665.05
FirstName0127       LastName0127      Assistant       77565.96
FirstName0128       LastName0128      Associate       98460.19
FirstName0129       LastName0129      Assistant      106791.62
FirstName0130       LastName0130      Assistant       92878.96
FirstName0131       LastName0131      Assistant       59896.08
FirstName0132       LastName0132      Assistant       64823.00
FirstName0133       LastName0133      Assistant       66405.13
FirstName0134       LastName0134      Assistant       59042.73
FirstName0135       LastName0135      Assistant       71266.54
FirstName0136       LastName0136      Associate       60592.18
FirstName0137       LastName0137      Assistant       86167.96
FirstName0138       LastName0138      Assistant       65824.74
FirstName0139       LastName0139      Assistant       76595.35
FirstName0140       LastName0140      Assistant       78361.94
FirstName0141       LastName0141      Assistant      109861.56
FirstName0142       LastName0142      Assistant       79531.27
FirstName0143       LastName0143      Assistant       61067.27
FirstName0144       LastName0144      Assistant       51440.66
FirstName0145       LastName0145      Assistant       89847.28
FirstName0146       LastName0146      Assistant       78643.96
FirstName0147       LastName0147      Assistant       74195.98
FirstName0148       LastName0148      Associate       95953.43
FirstName0149       LastName0149      Assistant       50529.91
FirstName0150       LastName0150      Assistant       72916.81
FirstName0151       LastName0151      Associate       98913.75
FirstName0152       LastName0152      Assistant       99084.76
FirstName0153       LastName0153      Associate       86847.07
FirstName0154       LastName0154      Assistant       59253.62
FirstName0155       LastName0155      Associate       89137.13
FirstName0156       LastName0156      Associate       80219.24
FirstName0157       LastName0157      Assistant       79284.39
FirstName0158       LastName0158      Assistant       76410.14
FirstName0159       LastName0159      Associate       82727.43
FirstName0160       LastName0160      Assistant      103865.45
FirstName0161       LastName0161      Associate       91176.84
FirstName0162       LastName0162      Associate       89059.32
FirstName0163       LastName0163      Assistant      107958.36
FirstName0164       LastName0164      Assistant      115795.61
FirstName0165       LastName0165      Assistant       53023.93
FirstName0166       LastName0166      Associate       81406.85
FirstName0167       LastName0167      Assistant       77598.73
FirstName0168       LastName0168      Assistant      112451.37
FirstName0169       LastName0169      Assistant      125092.38
FirstName0170       LastName0170      Assistant      127333.96
FirstName0171       LastName0171      Assistant      110129.09
FirstName0172       LastName0172      Assistant      115119.62
FirstName0173       LastName0173      Assistant       65768.57
FirstName0174       LastName0174      Associate       70754.10
FirstName0175       LastName0175      Associate       78280.55
FirstName0176       LastName0176      Associate       60287.97
FirstName0177       LastName0177      Assistant       64378.44
FirstName0178       LastName0178      Associate       83238.76
FirstName0179       LastName0179      Associate       64792.18
FirstName0180       LastName0180      Associate       97395.58
FirstName0181       LastName0181      Assistant       53972.01
FirstName0182       LastName0182      Associate       97228.22
FirstName0183       LastName0183      Assistant       61261.14
FirstName0184       LastName0184      Assistant       83765.75
FirstName0185       LastName0185      Assistant       93862.62
